英灵姓名,No,身高,体重,出处,地域,日文名,英文名,画师,声优,职阶,性别,属性,阵营,筋力,耐久,敏捷,魔力,幸运,宝具,特性,角色详情,资料一,资料二,资料三,资料四,资料五,资料六,羁绊礼装名称,羁绊礼装解说,羁绊礼装图片,羁绊礼装代替文字,所属作品,
童谣,74,137cm,30kg,英国童话,欧洲,ナーサリー・ライム,Nursery Rhyme,WADA ARUKO,野中蓝,Caster,女性,中立·中庸,人,E,E,C,A,B,C++,?,"『童谣是儿歌。
　拇指汤米的可爱绘本。
　鹅妈妈的最初形态。
　寂寞的你，悲伤的我。

　一同去实现，最后的愿望吧。』","身高／体重：137cm·30kg
出处：英国童话
地域：欧洲
属性：根据御主而变　　性别：女性
身高体重是人类形态的数据。","『悲哀而可爱的拇指汤米，长途跋涉辛苦了，
　但是，冒险已结束啦。
　因为你即将进梦境。
　黑夜的帷幕已降临。
　你的首级也会噗通一声掉地！』","变化：A+
『要变身，将变身。
　我变你，你变我。
　变身啰，变身啰。
　我是你，你是我』","『聪明伶俐，乖张淋漓，
　离合悲欢，施虐倍还。
　呆在这里，大家都是单纯的物体。
　人即为人，鸟则为鸟，这样一切刚刚好。

　你的名字，那就归我了哦。』","『献给某人的故事（Nursery Rhyme）』
阶级：EX　种类：对人宝具
『故事将永远持续下去。
　用纤细的手指翻回第一页，
　或是拿起第二卷。
　只要悲伤的读者继续抗拒现实』",?,仙境,"正在做梦的你呀，你好。
用那年幼的双瞳好好看看我。
世界的一切都那么模糊，
整个世界又是如此温柔，
所有人都是好朋友。
连天空中的浮云都是棉花糖！
明亮的双眸一定照亮了你的世界吧。

梦境过后的你呀，再见。
用那老去的双瞳好好看看我。
世界的一切都那么明确，
整个世界又是如此残酷，
所有人都是疲倦的路人。
就连棉花糖都只是污浊的烟雾！
光辉的世界应该会照亮你的眼睛吧。

仙境只是童话之国。
童谣的声响是梦之摇篮。
根本不值一文。
有效期限不足十年。
迟早将要消逝的甜美记忆。
但也仍为必要的甘甜痛楚。

即使忘了书本的内容，
千万不要忘了那夹在了梦中的书签。",https://fgo.wiki/images/thumb/5/5e/%E4%BB%99%E5%A2%83.png/300px-%E4%BB%99%E5%A2%83.png,仙境.png,-,
开膛手杰克,75,134cm,33kg,史实,伦敦,ジャック・ザ・リッパー,Jack the Ripper,近卫乙嗣,丹下樱,Assassin,女性,混沌·恶,地,C,C,A,C,E,C,天地从者,"世界著名的连续杀人犯。
在英国被称呼为「Jack the Ripper」。
五名女性被其杀害，尽管苏格兰场拼死搜查，
她却依然逍遥法外，最终消失得无影无踪。","身高／体重：134cm·33kg
出处：史实
地域：伦敦
属性：混沌·恶　　　性别：女性
作为Assassin被召唤时的杰克。","由于开膛手杰克的真实身份不明，
因此会随着各职阶的召唤变换外形。
这次当作为Assassin显现时，
就是不被允许诞生的婴儿的集合体。","身为Assassin的杰克在出生前就被杀害了，
因此向圣杯许下的愿望是回归胎内——
回到母亲的胎中。尽管不谙世事，
但由于作为开膛手杰克被召唤，因此脑子转得极快。","『解体圣母』
阶级：D～B　种类：对人宝具
重现开膛手杰克的杀人过程的宝具。
必要条件有三个，
「时间是夜间」「女性对象」「起雾」。","作为Assassin被召唤的她虽然自称「开膛手杰克」，
但她也不知道自己是不是「真犯人」。
虽然存在杀害复数女性的记忆，
但不清楚这是杰克的记忆，还是牺牲者的记忆。",?,雾夜伦敦,"在浓雾弥漫的深夜，开膛手杰克现身。
即使紧闭门窗，裹紧在被窝中，
杰克还是会灵活地从钥匙孔中进入房间。
噗嗤噗嗤地响起污浊的血溅之声，
吱噜吱噜地四处散落的内脏，
意识逐渐模糊，而你将迅速在绝望中死去吧。
然而，就在你，就在你将死之际所看到的，
『妈妈』
不可思议，竟是如天使般的纯净笑容。",https://fgo.wiki/images/thumb/a/a6/%E9%9B%BE%E5%A4%9C%E4%BC%A6%E6%95%A6.png/300px-%E9%9B%BE%E5%A4%9C%E4%BC%A6%E6%95%A6.png,雾夜伦敦.png,-,
莫德雷德,76,154cm,42kg,亚瑟王传说,英国,モードレッド,Mordred,近卫乙嗣,泽城美雪,Saber,女性,混沌·中庸,地,B+,A,B,B,D,A,龙、阿尔托莉雅脸、骑乘、天地从者,"莫德雷德是圆桌骑士之一，亚瑟王的亲生子。
同时也是终结了传说的反叛骑士——
在卡姆兰之丘，他杀死了亚瑟王。","身高／体重：154cm·42kg
出处：亚瑟王传说
地域：英国
属性：混沌·中庸　　性别：女性
体格和阿尔托莉雅完全一致。","在亚瑟王的姐姐兼宿敌的魔女摩根的奸计下，
莫德雷德作为人造生命——人工生命体的一种而诞生。
她正是为了杀死亚瑟，
同时也是为了成为超越亚瑟的王而诞生的。","由于莫德雷德是人工生命体，成长速度极快，
出生后数年就成了侍奉亚瑟王的骑士。
因其模仿了亚瑟王的能力，她很快就作为骑士崭露头角。","与摩根原本的企图相反，
莫德雷德憧憬父亲，并希望得到父亲的承认。
然而在遭到了亚瑟王的拒绝后骤然一变。
为了践踏父亲建立的伟业而研磨自己的毒牙。
本来就已达极限的不列颠在二人的激斗中走向崩溃。","作为人工生命体而诞生于这个世界，
如疾风般经历了各种事件的她，寿命很短。
或许正因此，将人生的一切都献给父王后，
莫德雷德无比希望能得到她的认同。
然而，她却也仍然无法理解亚瑟的苦恼。",?,我是谁？,"——我是伟大骑士王的儿子。
——我是傲然的叛逆骑士。
这都是我，都是我自己。
但是只要带上头盔，自己就不再是其中任何一个，
而只是，存在于各处的，无聊的，竭力求生的生命体。
我无法控制自己的这种想法。
那么应该就像他们一样，
就像周围这些已经断气的家伙们一样，
我也一定会坠入终焉深渊。
所以我想知道，在迎来自己的结局之前。

——我，究竟，是谁？",https://fgo.wiki/images/thumb/7/74/%E6%88%91%E6%98%AF%E8%B0%81%EF%BC%9F.png/300px-%E6%88%91%E6%98%AF%E8%B0%81%EF%BC%9F.png,我是谁？.png,-,
尼古拉・特斯拉,77,190cm,80kg,史实,欧洲,ニコラ･テスラ,Nikola Tesla,NAMANIKU ATK(Nitro+),稻田彻,Archer,男性,混沌·善,星,D,C,C,B,D,EX,所爱之人,"操控电磁的19～20世纪的天才科学家。
毫不含蓄的天才，宣称甚至能斩断星辰。
解开了在众多的神话中，
被誉为神（自然）之传说的雷电的秘密，
给人类文明带来「电力」的伟大学者之一。","身高／体重：190cm·80kg
出处：史实
地域：欧洲
属性：混沌·善　　　性别：男性
马克·吐温称其为雷电博士。","无可比拟的天才。现代的普罗米修斯。
绝世美男子。发明王爱迪生的对手。
在大地之上再现宙斯之雷霆的男人。
他正是那雄伟华丽的睿智魔人。
对御主的态度也只能用傲慢这个词来形容。","星之开拓者：EX
付与成为人类历史转折点的英雄的特殊技能。
将仅存在于神代的力量送到人间，
提升了文明水准的他，自然拥有EX阶级。","『人类神话·雷电降临』
阶级：EX 种类：对城宝具
System Keraunos。根据其生前的伟大成就，
以及各种超自然传说进行神秘升华后的存在。
哪怕真名解放前也拥有极为强大的电磁操控能力。","其宝具所展现的猛威，
令人不禁联想到各种神话中的雷神们的降世，
这也造就了身为Archer的他。
只要解放真名，就能「产生限定拟似的时空断层」，
破坏周围一切。",?,雷电之手,"无可比拟的天才。
现代的普罗米修斯。
绝世美男子。
在大地之上再现宙斯之雷霆的男人。
发明王爱迪生的对手。
豪言壮语说甚至能碎裂星辰的人物。

以上有几条是他现界后的自称，
剩下的，则是他过世后，
专家们对他的评价。
事实上，他确实是天才。
作为英灵的他周身的机械群也强烈表现了他的天才性。
不能因为那些被随便摆放，
就擅自去触碰啊——",https://fgo.wiki/images/thumb/5/51/%E9%9B%B7%E7%94%B5%E4%B9%8B%E6%89%8B.png/300px-%E9%9B%B7%E7%94%B5%E4%B9%8B%E6%89%8B.png,雷电之手.png,-,
阿尔托莉雅·潘德拉贡(Alter)(Lancer),78,171cm,57kg,亚瑟王传说,欧洲,アルトリア・ペンドラゴン,Altria Pendragon,ISHIDA AKIRA,川澄绫子,Lancer,女性,秩序·善,天,A,A+,C,A+,D,A++,骑乘、龙、阿尔托莉雅脸、天地从者、亚瑟、王,"传说中的圆桌骑士王亚瑟本人。
其真正的形态是位惹人怜爱，
但也正如传说中一般清廉而高洁的少女骑士。
其作为圣剑士的模样为人们所熟知，
但她所拥有的圣枪其实也十分强大，
因此可作为Lancer现界。——同时正如所见，
她同样可能作为被圣杯诅咒侵蚀的存在而现界。
是冷酷无情的骑士王持枪的一面。","身高／体重：171cm·57kg？
出处：亚瑟王传说
地域：欧洲
属性：秩序·善　　　性别：女性
关于其身为Lancer时的体重与体型的问题，诸说纷纭。
另外，作为Lancer时，她一定会骑马。
Alter化时的坐骑为「拉姆瑞」。","『闪耀于终焉之枪』
阶级：A++　种类：对城宝具
Rhongomyniad。圣枪。别名隆。
传说其真正的模样是连接世界表里的存在。
真名解放时阶级和种类都会发生变化。","圣枪即为连接世界表里（现实与幻想）的「光之柱」，
据说一旦将枪拔出，现实就会从世界剥离坠落。
圣枪原本是固定世界表层的「光之柱」。
据说一旦解开，
会导致建立于当世物理法则之上的世界剥落，
令被人们视为存在于过去的众多幻想法则出现。
正因为她是立于神代与幻想的最后的「王」，
才能拥有这蕴含着极强力量的圣枪。","通过解放真名，
圣枪能释放在世界尽头闪烁的力量的一部分。
为了解放真名，需要将总计十三个的拘束解开近半数。
基于这种性质，该枪与「拯救世界的星之圣剑」，
被视为同等的存在。","据传说，作为Lancer现界的时候，
骑士王的「某部分」与生前的模样截然不同。
或许是因为舍弃了圣剑与剑鞘，改为手持圣枪，
导致原本不老的肉体的「某部分」得以成长，
也有可能是枪的魔力促进了「某部分」的成长——",?,黑头盔,"她得到了闪耀与尽头的存在。
变质正是从这瞬间开始的。
首先是肉体。然后是精神。
在完全转化为“圣枪女神”前，
她做出了选择。
选择了成为风暴之王的自己。

与身为圣剑骑士王的自己相背离，
成了拥有狂暴性质的存在——
可即便如此，她依然作为一名人类而存在着。

不是作为圣枪女神。
而是作为阿尔托莉雅·潘德拉贡。

身在此处的，
是未曾成为狮子王，而化身为圣枪英灵的存在。",https://fgo.wiki/images/thumb/a/a9/%E9%BB%91%E5%A4%B4%E7%9B%94.png/300px-%E9%BB%91%E5%A4%B4%E7%9B%94.png,黑头盔.png,-,
冯・霍恩海姆・帕拉塞尔苏斯,79,183cm,65kg,史实,欧洲,ヴァン・ホーエンハイム・パラケルスス,Paracelsus von Hohenheim,中原,三木真一郎,Caster,男性,混沌·善,人,D,E,C,A,B,A+,所爱之人,"传说中的医生、炼金术士。
作为16世纪文艺复兴时期的人物为人们所知。
留下了包括「四元素（五元素）的再发现」，
「三元质的再发现」在内的大量成就与书籍。
在人类史与魔术史中都留下其功名的稀有人物。","身高／体重：183cm·65kg
出处：史实
地域：欧洲
属性：混沌·善　　　性别：男性
操控五元素的强大魔术师（Average One）。","理性稳重。性格温和，不好斗。
表示人类的感情比任何事物都要贵重。
将现代的魔术师们视为继承了自己教导的，
弟子们的后裔，平等而慈爱地对待他们。
——只要世界允许其（爱）存在。","道具作成：EX
以强大魔力积蓄结晶“贤者之石”为首，
对应五属性元素的人工灵，
复数个拥有同步思考能力的人造人，等等——
具备EX阶级技能的他能制作各式各样的道具。","『元素使的魔剑』
阶级：A+、种类：对军宝具
Sword of Paracelsus。
Azoth剑的根源。帕拉塞尔苏斯的魔剑。
用超高密度的“贤者之石”构成的魔术礼装。","宝具原本的效果是增幅、辅助、强化魔术，
但通过刀身的魔力，可瞬间执行仪式魔术，
以五种元素为媒介，
可以做到短暂地拟似构成神代真乙太。
真乙太（伪）可怕的威力能粉碎周围。",?,元素精灵,"元素精灵（Elemental）。
嗯，对。
如果用话语来表现，应该会这么说吧。
这是指象征四大元素的超自然的存在。
然而当我提起这个的时候，会有些许不同。

凝聚了各属性力量的人工灵。
这才是我所使役的元素精灵。
虽为超越现实的存在，但却不是幻想种。
地、水、火、风、以及空（Ether）。
五大属性的元素块。

既可以当做储蓄魔力的池来使用，也可以应用在防御或是攻击方面。对我来说，嗯，是作为研究的素材以及仪式魔术的触媒来使用的。

来吧。还请各位好好看着。
构成世界的元素的光辉……
终将引领我们去往根源的神秘存在。",https://fgo.wiki/images/thumb/8/8b/%E5%85%83%E7%B4%A0%E7%B2%BE%E7%81%B5.png/300px-%E5%85%83%E7%B4%A0%E7%B2%BE%E7%81%B5.png,元素精灵.png,-,
查尔斯・巴贝奇,80,250cm,500kg以上,史实,欧洲,チャールズ・バベッジ,Charles Babbage,I-IV,稻田彻,Caster,男性,混沌·中庸,人,B++,B++,D++,A,E,A+,?,"十九世纪的数学家、科学家。
梦想给世界带来变革的蒸汽王。天才学者。
提出了「差分机」与「分析机」的设计概念，
也即基于蒸汽机关的世界首台计算机雏形。
现代称其为「计算机之父」。","身高／体重：250cm·500kg以上（两者都包括铠甲）
出处：史实
地域：欧洲
属性：混沌·中立　　性别：男性
性格严谨，但对天真无邪或是聪明的少女没有抵抗力。","——志未成，身先死。
差分机没能完成。
分析机没能完成。
消失在时代狭缝中的「未来的可能性」之梦，
他将之留给世界，抱憾而逝。","而如今，他现界于世。
将未来的可能性——异形的钢铁披于身上。
将梦中的未来——异形的世界藏在心中。
作为英灵现界的他，其存在本身，
就是其宝具——和固有结界几乎为同一存在。","机械铠甲：EX
始终身披蒸汽机关制的全身铠甲。
提升筋力与耐久力阶级的同时，
也因异形蒸汽机关的推进功能，
令三项能力值都追加了「++」的修正。","『绚烂的灰烬世界』
阶级：A++、种类：对军宝具
Dimension of Steam。
渴望与梦想升华了的固有结界，
他的心，就是身披的机械铠甲本身。",?,真·差分机,"十九世纪初叶。
刚从剑桥大学毕业的青年在计算天体运动时——
面对庞大的数字量，陷入了思考。

不止在天体方面。无论是政府研究部门还是在野的企业，几乎所有实验与业务在进行大量计算的时候，都需要数十个人来操作。如果能将这无数计算交由机械代替的话。

而他继续思考。
这能行。

用蒸汽机关为动力，进行复杂高度计算的机械。
其名为差分机（Difference engine）。

没错，在各种学问中都要运用到数学。
当这台机械完成之时，
人类就能在各种领域实现飞跃性的时间节约，
文明也一定能前进数个世纪吧。
这是谁都未能达成的梦想。
　◆

他的愿望只差一步，最终未能实现。
然而，人们这么评价。
他确实是伟大天才之一，是文明的奠基石——

说他才是计算机之父。",https://fgo.wiki/images/thumb/5/58/%E7%9C%9F%C2%B7%E5%B7%AE%E5%88%86%E6%9C%BA.png/300px-%E7%9C%9F%C2%B7%E5%B7%AE%E5%88%86%E6%9C%BA.png,真·差分机.png,-,
亨利・杰基尔＆海德,81,175cm,60kg,化身博士,欧洲,ヘンリー・ジキル,Henry Jekyll,中原,宫野真守,Assassin,男性,秩序·善,地,C+,E,A+,E,C,C,天地从者、所爱之人,"19世纪的小说『化身博士』中，
登场的角色——或者说是该角色原型的人物。
他本想将自己人格中「邪恶」部分剥离，
结果却导致「邪恶」的人格显现出来，
最终犯下了杀人的恶行，走上了自我毁灭的道路。","身高／体重：175cm·60kg
出处：『化身博士』
地域：欧洲
属性：秩序·善（杰基尔）／混沌·恶（海德）
随着人格的切换，肉体也会发生变化的双重人格持有者。","【杰基尔】
诚实而理性的好人——本来的人格。
对万事都会深思熟虑，既是优点也是缺点。
与表面相反，正义感十足，
生前苦恼于「潜藏于人类内心的邪恶」，企图与之对抗。","【海德】
毫无道德心的快乐主义者——「邪恶」的人格。
下意识会伤害所有一切的，恶意的反英雄。
不知是杰基尔的内心潜藏着邪恶，
还是因杰基尔本身就缺乏邪心，
导致才「只有这个程度而已」，这点不明。","『隐秘的罪之游戏』
阶级：C、种类：对人宝具
Dangerous Game。让杰基尔变化为海德，
海德变化为杰基尔的灵药。化身为海德时，
拥有能媲美三骑士职阶的近身战斗力。","无力之壳：A
精神与肉体处于杰基尔的状态时能力值一落千丈，
也很难以从者的身份被探知。
反之，通过使用宝具成为海德时，
仿佛受到了反作用力，能力会急剧提升。",?,维系心之物,"决不能失去心。
决不能忘记仁慈、庇护、爱。

人会轻易堕落。坠入邪恶的快乐中。
否定企图伤害、嘲笑、贬低他人的自己吧。
因为这不过是软弱的表现罢了。
我每天都站在镜子前，这样告诫自己。
要保持正确。
哪怕世界中大部分事物已化为邪恶的掌中物。",https://fgo.wiki/images/thumb/f/f2/%E7%BB%B4%E7%B3%BB%E5%BF%83%E4%B9%8B%E7%89%A9.png/300px-%E7%BB%B4%E7%B3%BB%E5%BF%83%E4%B9%8B%E7%89%A9.png,维系心之物.png,-,
弗兰肯斯坦,82,172cm,48kg,创作,欧洲全域,フランケンシュタイン,Frankenstein,冈崎武士,野中蓝,Berserker,女性,混沌·中庸,地,C,B,D,D,B,C,天地从者,"维克多·弗兰肯斯坦创造的人工生命体。
作为与亚当成对的夏娃而被制造出来，
但由于无法流畅地表现喜怒哀乐等感情，
被判定为失败作品。","身高／体重：172cm·48kg
出处：创作
地域：欧洲全域
属性：混沌·中庸　　　性别：女性
若想节约用电的话就直接把PC的插头给拔了。","弗兰肯斯坦与小说中描写的形象差异相当大，
维克多原本打算创造亚当和夏娃——
也就是以起源创造为目的而制作的。
但与圣经相反，他先创造了夏娃，
打算让夏娃生下亚当。","然而，作为关键的夏娃——
通过缝合尸体制作的人工生命体是失败作品。
无法正常地控制和交流感情，
见到她毫不犹豫地杀害野狗，
并将内脏作为礼物赠送给自己的残暴本性，
维克多害怕地逃跑了。","然而，被丢弃的弗兰肯斯坦通过接触这个世界，
逐渐磨练自己的知性与感情，
终于萌生了对抛弃自己的维克多的愤怒。
面对执着地追赶自己到南极的她，
维克多精疲力竭，选择了自尽。","她之所以会寻求自己的对象，不是因为本能的欲望，
而是为了追求理性——即希望能如同普通人类般生存。
唯有成功令她敞开心扉，才有可能被她选为御主吧，
也就是「弗兰肯斯坦的新郎」。",?,成为人类的道路,"所有生物都是奇迹的产物。
因此，创造生命的行为是神圣的，
也无疑是代替神明之举。
倘若创造对象是复杂至极的人类，
或可称之为最极致的神圣行为吧。

接下来即将进行的，是蹂躏这一切的行为。
我将以科学、科学、以及些许的魔术，
为世界带来奇迹！

……然而愚者遗忘了一件事。
那就是这奇迹绝不是什么美妙的存在。",https://fgo.wiki/images/thumb/2/24/%E6%88%90%E4%B8%BA%E4%BA%BA%E7%B1%BB%E7%9A%84%E9%81%93%E8%B7%AF.png/300px-%E6%88%90%E4%B8%BA%E4%BA%BA%E7%B1%BB%E7%9A%84%E9%81%93%E8%B7%AF.png,成为人类的道路.png,-,
阿周那,84,177cm,72kg,摩诃婆罗多,印度,アルジュナ,Arjuna,pako,岛崎信长,Archer,男性,秩序·中庸,天,A,B,B,B,A++,EX,神性、天地从者,"印度古代叙事诗「摩诃婆罗多」的大英雄。
摩诃婆罗多是印度各英雄集结一堂的华丽绚烂的故事，
但若说阿周那是位于中心位置的人物，这一点也不为过。","身高／体重：177cm·72kg
出处：摩诃婆罗多
地域：印度
属性：秩序·中庸　　性别：男性
爱用的弓是『甘狄拔』。是火神阿耆尼赠与他的神弓。","若说迦尔纳是“施舍的英雄”，
那阿周那就是“天授的英雄”。
俱卢国王的儿子，他作为般度五子中的第三子，
同时也是雷神因陀罗的儿子。","作为一名才干、性格等各种方面都毫无瑕疵的英雄，
他却因在兄长在赌注中失败而被国家放逐。
这时，他已经预感到与迦尔纳的对决是不可避免的。
这都是因为迦尔纳将般度五子的宿敌——难敌尊敬如父。","爱着兄弟，也被兄弟所爱。
爱着父母，也被父母所爱。
爱着人民，也被人民所爱。
尽管如此——。","已然记不起何时下决心必须杀了迦尔纳。
或许是从最初见面的那刻起吧。
这不是诸神所注定的命运。
这是阿周那本着纯粹的敌意选择的业（Karma）。
哪怕这并不正确，阿周那也不得不去完成。",?,天赐的英雄,"——将财宝，赐予你。
——将力量，授予你。
——将所有一切，给与你。

当被给予了一切后，
才发现所有一切都浪费了。
在下，我想要的，
并不是这种东西。

所以现在，为了抓住真正想要的存在，
我要拼上自己的性命。
将所有人都珍惜疼爱的我那生命作为赌资，
随便地扔上了赌桌。

说实话吧。
这种行为太痛快了！",https://fgo.wiki/images/thumb/e/e9/%E5%A4%A9%E8%B5%90%E7%9A%84%E8%8B%B1%E9%9B%84.png/300px-%E5%A4%A9%E8%B5%90%E7%9A%84%E8%8B%B1%E9%9B%84.png,天赐的英雄.png,-,
迦尔纳,85,178cm,65kg,摩诃婆罗多,印度,カルナ,Karna,pako,游佐浩二,Lancer,男性,秩序·善,天,B,C,A,B,D,EX,神性、骑乘、天地从者、所爱之人,"印度古代叙事诗「摩诃婆罗多」的大英雄。
是身处摩诃婆罗多中心位置的英雄阿周那的对手，
也是他的异父兄弟。遭到众多诅咒，身体无法动弹的他，
最终以近乎谋杀的形式被阿周那杀害。","身高／体重：178cm·65kg
出处：摩诃婆罗多
地域：印度
属性：秩序·善　　性别：男性
也可作为Archer、Rider存在。","迦尔纳是人类女性贡蒂与太阳神苏利耶所生的半神英雄。
但他出生后，立刻遭到贡蒂的抛弃，
被作为车夫的儿子抚养。
可他作为英雄的资质绝不可能被埋没。","母亲贡蒂抛弃了迦尔纳之后，生下了般度王家的五兄弟。
其中第三子就是迦尔纳终生的宿敌阿周那。
长大后的迦尔纳成了与般度家对立的俱卢家的养子。","然而，就连迦尔纳与阿周那的战斗，
都遭到了众多诅咒的妨碍。受婆罗门诅咒，
被因陀罗欺骗，答应了母亲贡蒂的请求，
发誓不与阿周那以外的任何人战斗。
尽管如此，迦尔纳还是接受了一切。","在铠甲转让因陀罗的传说中，
迦尔纳分解、抛弃了黄金铠甲，
从而获得了弑神之枪。
连诸神之王都无法自由掌控的光之枪。
沾染全身剥离之血所释放的一击
能一扫所有不净之物。

——日轮啊，顺从死亡。",?,贫者一灯,"过去，觉者受王邀请，被盛情款待。
宴会持续到夜晚，觉者的归途被黑暗所笼罩。

王动用巨资，为道路安置明灯，
可区区一次强风就熄灭了王准备的所有灯火。

然而觉者之路却依然被微弱的灯光映照。
那是一位身份不足以出席宴会，
也无法准备礼物的贫穷老人留下的
满怀心意的一盏明灯。

——无数的称赞，无数的憧憬
虽然确实能将人生点缀得十分华美。
但谁人都未注意到的一颗真心，
便可令人感到自己的人生充满幸福。",https://fgo.wiki/images/thumb/d/dd/%E8%B4%AB%E8%80%85%E4%B8%80%E7%81%AF.png/300px-%E8%B4%AB%E8%80%85%E4%B8%80%E7%81%AF.png,贫者一灯.png,-,
谜之女主角X,86,154cm,42kg,2013年愚人节,从者界,謎のヒロインX,Mysterious Heroine X,BUNBUN,川澄绫子,Assassin,女性,混沌·善,星,B,C,A+,B,D,A++,骑乘、龙、阿尔托莉雅脸、亚瑟、王,"从被称为从者宇宙的神秘时空来访的异乡之人。
自称Saber职阶的决定版，
身为一名骑士，
光明正大地发动暗算的对Saber用决战兵器。

代号·A-X。","身高／体重：154cm·42kg
出处：2013年愚人节
地域：从者界
属性：混沌·善　　　性别：女性
用神秘魔剑『无铭胜利剑』把敌人都杀掉吧。","「阿尔托莉雅种族就像是宇宙的癌。
　必须有人去切除才行。
　必须有人去做。」

面露苦涩的表情，女主X背井离乡。
驾驶着爱机金色神驹Ⅱ号在星海驰骋。","其外形与一般从者截然不同，
身着休闲运动风的服装。
蓝色的围巾是勇气的标志，
帽子是为了隐藏其呆毛真身。
但戳出来了，戳出来了，彻底戳出来了。","作为对Saber决战兵器，
只知一味打倒所有Saber的她，
赌上这把圣剑，宁将此身化为修罗模式，
然而她唯独对Saber Lily敞开了心怀。","在来到这里之前，她曾拯救了古代王朝的危机，
解决了人类统一工会的内斗，
赶走了从其他宇宙到来的侵略者。
但这些事对她而言都是小菜一碟。
这都是些鸡毛蒜皮的事，所以她根本没记在心上。

为了达成悲愿，她将继续挥舞无铭胜利剑。
另外黄金大帝宇宙吉尔伽美斯是无论如何都要干掉的。",?,歼灭清单,"「一个Saber、两个Saber……Saber……
　啊啊，又增加了一个！」
深夜的迦勒底回响起阵阵毛骨悚然的声音。
据说每当Saber增加一个人，充满神秘从者怨念的诅咒声
就会响起什么的。
「真奇怪啊，我明明逐一对他们实行了半夜偷袭，但怎
　么还是在一味增加啊。」
真希望你能考虑一下每次发生这种事时都要召唤回复系
从者的御主有多辛苦。
「好吧，算了。那今天也为了实现梦想，重复唱一百次
　打倒Saber！」
Saber必须死Saber必须死Saber必须死Saber必须死
Saber必须死……只要听到这种用流行电音调唱的台词，
Saber就会遭遇鞋带断掉或是蝉撞到脸上这种不幸——
少女内心暗想，如果真的发生这种事就好了。",https://fgo.wiki/images/thumb/c/cc/%E6%AD%BC%E7%81%AD%E6%B8%85%E5%8D%95.png/300px-%E6%AD%BC%E7%81%AD%E6%B8%85%E5%8D%95.png,歼灭清单.png,-,
芬恩・麦克库尔,87,181cm,63kg,凯尔特神话,欧洲,フィン・マックール,Fionn mac Cumhaill,森山大辅,三木真一郎,Lancer,男性,中立·中庸,天,B+,B,A+,C,C,B+,神性、天地从者,"凯尔特战神努亚达的后裔，光荣的费奥纳骑士团团长。
他打倒了能操纵睡眠与火焰的邪恶神灵，拯救了都城，
身为爱林（爱尔兰）的守护者，打倒侵略者与魔物，
是位建立了无数功勋的大英雄。
钻研魔术与睿智，原本拥有诸多能力与宝具。","身高／体重：181cm·63kg
出处：凯尔特神话
地域：欧洲
属性：中立·中庸　　　性别：男性
身为Lancer职阶时，将枪与治愈的力量作为自己的宝具。","效忠于爱林的上王，在光荣的费奥纳骑士团中，
立下了足以被称颂为最伟大骑士以及骑士团之长的功勋。
衰败的神灵亚连，魔猪，冥界之马，
最终甚至连自己的神祖，也就是战神努亚达都被他击败了。
平时据说是一位喜爱和骑士团的部下们打打猎，
过着平静生活的大人物。","本应顺着无可非议的大英雄之路前进的他，
却注定拥有桃花劫的命运。迷上美丽的姊妹，
遭到诅咒是他遭遇的第一难。之后灾难便接连不断。
由于第一妻子，他与妖精们敌对，耗费了七年的时光，
而围绕第三妻子格兰妮引发的争斗，
则让辉煌的骑士团土崩瓦解。","问题难道并非出在女人们身上，而是出在自己身上──
直到最后，芬恩·麦克库尔都没有产生这种念头。
到底做错了什么。哪怕化为英灵，
作为从者现界的现在，他都没有弄明白。","『无败紫靫草』
阶级：A　　种类：对军宝具
Mac an Luin。
拥有自动攻击，精神干涉无效化等效果。真名解放之后，
可以释放出伴随着司掌着「流水」的战神努亚达之力的
激烈奔流的强烈一击。
真名源自其爱剑的剑铭。这把剑常常也被视作长枪，
作为宝具而成立之际，同化为杀死了神灵亚连的长枪。",?,智慧之鱼,"——御主。吃鲑鱼吧，会让脑袋变聪明的。

当然，不可能得到无限的睿智。
能做到这点的，唯有拥有闪耀彩虹色鳞片的鲑鱼。
但是，鲑鱼脂肪内含有大量能提高集中力的物质，
所以肯定不会完全没有效果。

不能只有强大，只有美丽。
你应该变得更聪明。
应该拥有当遇到什么障碍，遭遇失败的时候……
能够回顾总结自身的聪明才智。

唔？
你说——如果有智慧很聪明的话，
只要保证自己做的事不失败就行了？
呵呵，确实，这是理想的情况！

但是人总是会犯错的。
人无法保证自己总能选择正确的道路。

所以，来。你也吃点鲑鱼吧。",https://fgo.wiki/images/thumb/8/83/%E6%99%BA%E6%85%A7%E4%B9%8B%E9%B1%BC.png/300px-%E6%99%BA%E6%85%A7%E4%B9%8B%E9%B1%BC.png,智慧之鱼.png,-,
